data	data	573088	257016	1.40558e+06	1.25934e+06	224352	168268	599452	358512	106336	54308	336648	289080	279880	205512	217224	113940	212980	231708	946852	977888	173300	168480	543672	558724	87364	191480	123412	124224	812560	443756	442932	718468	217752	670520	201264	225132	452532	486812	257984	368544	66812	97876	348152	372464	273060	361580	483932	359696	234212	321804	698668	290760	377916	138788	449668	572936	321328	198164	195576	72948	220256	81360	189880	163264	206580	101056	461416	570372	210868	144104	532416	588992	501872	626760	111248	88056	248068	413836	233444	93932	280316	245452	116072	90344	524600	323528	39500	32628	492176	338472	460164	353704	392944	266872	37436	66604	310620	284360	478708	456752	253580	167432	316640	280876	128216	150756	16252	21560	38084	111928	210268	201864	197848	161252	114568	23108	
data	data	Precentral_L	Precentral_R	Frontal_Sup_L	Frontal_Sup_R	Frontal_Sup_Orb_L	Frontal_Sup_Orb_R	Frontal_Mid_L	Frontal_Mid_R	Frontal_Mid_Orb_L	Frontal_Mid_Orb_R	Frontal_Inf_Oper_L	Frontal_Inf_Oper_R	Frontal_Inf_Tri_L	Frontal_Inf_Tri_R	Frontal_Inf_Orb_L	Frontal_Inf_Orb_R	Rolandic_Oper_L	Rolandic_Oper_R	Supp_Motor_Area_L	Supp_Motor_Area_R	Olfactory_L	Olfactory_R	Frontal_Sup_Medial_L	Frontal_Sup_Medial_R	Frontal_Med_Orb_L	Frontal_Med_Orb_R	Rectus_L	Rectus_R	Insula_L	Insula_R	Cingulum_Ant_L	Cingulum_Ant_R	Cingulum_Mid_L	Cingulum_Mid_R	Cingulum_Post_L	Cingulum_Post_R	Hippocampus_L	Hippocampus_R	ParaHippocampal_L	ParaHippocampal_R	Amygdala_L	Amygdala_R	Calcarine_L	Calcarine_R	Cuneus_L	Cuneus_R	Lingual_L	Lingual_R	Occipital_Sup_L	Occipital_Sup_R	Occipital_Mid_L	Occipital_Mid_R	Occipital_Inf_L	Occipital_Inf_R	Fusiform_L	Fusiform_R	Postcentral_L	Postcentral_R	Parietal_Sup_L	Parietal_Sup_R	Parietal_Inf_L	Parietal_Inf_R	SupraMarginal_L	SupraMarginal_R	Angular_L	Angular_R	Precuneus_L	Precuneus_R	Paracentral_Lobule_L	Paracentral_Lobule_R	Caudate_L	Caudate_R	Putamen_L	Putamen_R	Pallidum_L	Pallidum_R	Thalamus_L	Thalamus_R	Heschl_L	Heschl_R	Temporal_Sup_L	Temporal_Sup_R	Temporal_Pole_Sup_L	Temporal_Pole_Sup_R	Temporal_Mid_L	Temporal_Mid_R	Temporal_Pole_Mid_L	Temporal_Pole_Mid_R	Temporal_Inf_L	Temporal_Inf_R	Cerebelum_Crus1_L	Cerebelum_Crus1_R	Cerebelum_Crus2_L	Cerebelum_Crus2_R	Cerebelum_3_L	Cerebelum_3_R	Cerebelum_4_5_L	Cerebelum_4_5_R	Cerebelum_6_L	Cerebelum_6_R	Cerebelum_7b_L	Cerebelum_7b_R	Cerebelum_8_L	Cerebelum_8_R	Cerebelum_9_L	Cerebelum_9_R	Cerebelum_10_L	Cerebelum_10_R	Vermis_1_2	Vermis_3	Vermis_4_5	Vermis_6	Vermis_7	Vermis_8	Vermis_9	Vermis_10	
573088	Precentral_L	0	6890	26202	9212	0	0	28364	4018	0	0	14204	1072	2834	332	0	0	7578	940	13424	8318	0	0	338	310	0	0	0	0	11250	706	426	942	7270	1382	3592	1020	3088	1032	776	0	0	0	1246	0	2212	0	1326	0	1438	0	9798	0	2732	0	570	0	36672	536	426	0	7140	0	6390	498	3362	0	4500	1082	17626	0	4244	3580	2118	2956	446	562	1912	2294	5558	138	2426	140	0	0	5332	0	0	0	1764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
257016	Precentral_R	6890	0	2502	15184	0	0	698	21324	0	0	0	9998	0	2472	0	0	0	3292	1956	3686	0	0	0	0	0	0	0	0	218	1496	0	0	0	1506	542	1898	284	2640	0	1204	0	0	0	952	0	500	0	326	0	442	0	482	0	406	0	1702	4538	12524	0	0	138	278	220	3482	0	272	1148	3748	450	3166	1304	1648	1588	1400	918	260	948	2776	0	516	0	950	0	0	0	854	0	0	0	2562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	0	
1.40558e+06	Frontal_Sup_L	26202	2502	0	29458	10462	0	92482	2166	2106	0	16848	2192	19728	736	8746	0	3668	1002	118682	33100	1526	476	48584	16644	822	494	1290	166	47928	1148	19902	17254	4720	19586	6146	3746	11462	924	3666	0	0	0	0	0	0	0	1548	0	0	0	560	0	5500	0	1080	0	1254	184	0	0	398	0	922	280	0	0	1292	344	4814	0	14316	10446	24966	4402	7164	1884	15622	5328	10330	0	2060	0	812	0	2176	0	0	0	8422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	
1.25934e+06	Frontal_Sup_R	9212	15184	29458	0	386	6148	3786	44492	0	990	1892	14910	274	16018	0	4726	314	9628	27898	97222	352	1798	19444	53724	672	5818	134	1802	1708	21054	8012	45408	3622	34324	4970	8152	2978	7918	1126	2248	0	434	0	944	0	304	1174	1728	0	0	186	136	302	496	0	2154	1920	2300	0	0	0	0	0	376	0	0	636	3006	4252	322	4806	26280	4066	27984	826	3236	4460	21496	510	844	0	1366	0	268	0	522	0	0	254	2506	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	1568	0	0	0	0	0	0	
224352	Frontal_Sup_Orb_L	0	0	10462	386	0	416	3656	0	14238	0	250	0	1760	0	17030	0	0	0	392	0	7932	1988	5536	698	4068	1108	9520	972	8898	0	8494	1956	0	144	0	0	0	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4300	1420	4036	446	0	0	0	0	0	0	0	0	1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
168268	Frontal_Sup_Orb_R	0	0	0	6148	416	0	0	1118	164	6724	0	0	0	240	234	7368	0	0	0	0	2100	4440	312	3796	1602	15648	1046	11760	0	3346	1314	4312	0	0	0	0	0	0	0	124	0	666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1664	3980	612	4850	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
599452	Frontal_Mid_L	28364	698	92482	3786	3656	0	0	730	3770	0	16432	412	33954	0	9202	0	1062	316	23434	2184	320	0	13868	3008	0	0	300	0	23446	196	2186	2160	1340	2658	784	0	2910	216	1468	0	0	0	0	0	0	0	486	0	0	0	370	0	1560	0	0	0	1918	0	0	0	538	0	170	0	0	0	366	0	706	0	1728	1066	2892	1076	1226	266	516	296	6568	0	336	0	270	0	992	0	0	0	1038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
358512	Frontal_Mid_R	4018	21324	2166	44492	0	1118	730	0	0	1856	634	21336	0	13218	0	3892	0	1302	1816	7462	0	0	1836	7284	0	128	0	0	568	2914	158	1988	0	3858	200	766	186	1766	0	572	0	0	0	0	0	0	0	338	0	0	0	0	0	0	0	490	2168	2022	0	0	0	150	178	886	0	0	442	874	0	0	5798	1828	2440	2810	1106	474	3400	4904	0	0	0	334	0	0	0	0	0	0	134	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	0	0	0	0	0	0	
