Subject,bc_AUC_dim0,bc_AUC_dim1,pl_AUC_dim0,pl_AUC_dim1,top_vec_dim0,top_vec_dim1,S_entropy_dim0,S_entropy_dim1,Euler_sum,total_cliques_sum,triangles_sum,Phase_transition_1,Phase_transition_2,curv_mean_all_0.005,curv_std_all_0.005,curv_kur_all_0.005,curv_skew_all_0.005,curv_ent_all_0.005,curv_mean_DMN_0.005,curv_std_DMN_0.005,curv_kur_DMN_0.005,curv_skew_DMN_0.005,curv_ent_DMN_0.005,curv_mean_FPN_0.005,curv_std_FPN_0.005,curv_kur_FPN_0.005,curv_skew_FPN_0.005,curv_ent_FPN_0.005,curv_mean_all_0.01,curv_std_all_0.01,curv_kur_all_0.01,curv_skew_all_0.01,curv_ent_all_0.01,curv_mean_DMN_0.01,curv_std_DMN_0.01,curv_kur_DMN_0.01,curv_skew_DMN_0.01,curv_ent_DMN_0.01,curv_mean_FPN_0.01,curv_std_FPN_0.01,curv_kur_FPN_0.01,curv_skew_FPN_0.01,curv_ent_FPN_0.01,curv_mean_all_p1low,curv_std_all_p1low,curv_kur_all_p1low,curv_skew_all_p1low,curv_ent_all_p1low,curv_mean_DMN_p1low,curv_std_DMN_p1low,curv_kur_DMN_p1low,curv_skew_DMN_p1low,curv_ent_DMN_p1low,curv_mean_FPN_p1low,curv_std_FPN_p1low,curv_kur_FPN_p1low,curv_skew_FPN_p1low,curv_ent_FPN_p1low,curv_mean_all_p1high,curv_std_all_p1high,curv_kur_all_p1high,curv_skew_all_p1high,curv_ent_all_p1high,curv_mean_DMN_p1high,curv_std_DMN_p1high,curv_kur_DMN_p1high,curv_skew_DMN_p1high,curv_ent_DMN_p1high,curv_mean_FPN_p1high,curv_std_FPN_p1high,curv_kur_FPN_p1high,curv_skew_FPN_p1high,curv_ent_FPN_p1high,p3cliques_DMN_ent_p1low,p3cliques_FPN_ent_p1low,p3cliques_DMN_sum_p1low,p3cliques_FPN_sum_p1low,p3cliques_DMN_ent_p1high,p3cliques_FPN_ent_p1high,p3cliques_DMN_sum_p1high,p3cliques_FPN_sum_p1high,p3cliques_DMN_ent_p2low,p3cliques_FPN_ent_p2low,p3cliques_DMN_sum_p2low,p3cliques_FPN_sum_p2low,p3cliques_DMN_ent_p2high,p3cliques_FPN_ent_p2high,p3cliques_DMN_sum_p2high,p3cliques_FPN_sum_p2high,p4cliques_DMN_ent_p2low,p4cliques_FPN_ent_p2low,p4cliques_DMN_sum_p2low,p4cliques_FPN_sum_p2low,p4cliques_DMN_ent_p2high,p4cliques_FPN_ent_p2high,p4cliques_DMN_sum_p2high,p4cliques_FPN_sum_p2high
Filtered_p_values_subj_713239_functional_connectivity,6449.49494949495,894.9494949494942,36.05190889577977,17.51446873281891,0.5,0.34236635281806416,22.27473095507827,18.488748334546585,-4569,66353,17753,25.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_126628_functional_connectivity,6264.646464646465,808.0808080808074,36.05190889577977,17.441162279695938,0.5,0.34234992626467675,21.4073319479307,21.67393056262528,-2954,86298,24085,24.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_138332_functional_connectivity,5601.010101010101,968.6868686868679,36.05190889577977,17.530961344180465,0.5,0.3482947448396002,23.814766863333574,23.690213119896143,-5670,67812,17898,26.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_146533_functional_connectivity,6324.242424242426,325.2525252525253,36.05190889577977,22.759539629768106,0.5,0.3964502910100695,22.22914594667128,10.145358329454503,-6897,68211,16641,27.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_987074_functional_connectivity,5632.323232323232,1051.5151515151508,36.05190889577977,22.44159237844582,0.5,0.38351451824360755,25.623521061110203,20.025711829625955,-2712,94042,27151,28.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_210617_functional_connectivity,5568.68686868687,950.5050505050499,36.05190889577977,18.99700155715338,0.5,0.36282758610413857,24.867679934574877,18.410826344280775,-2258,90396,28619,30.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_298455_functional_connectivity,6292.929292929295,1076.7676767676758,35.31615578332405,30.877099820607903,0.4947999605000491,0.4594425295409342,20.757073768093,23.715343363568664,-9994,54372,10589,20.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_186040_functional_connectivity,5897.979797979799,712.1212121212113,36.05190889577977,17.537169415963884,0.5,0.3483274843093498,26.763243394907747,22.161626676864717,-5356,79990,21385,28.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_118528_functional_connectivity,6158.58585858586,768.6868686868684,36.05190889577977,22.02152282255454,0.5,0.39036362297017874,24.393972572616246,16.574938713461528,-6446,65912,17105,26.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filtered_p_values_subj_217126_functional_connectivity,4881.81818181818,1362.6262626262617,36.05190889577977,20.055721774604745,0.5,0.3717753681547411,26.397193787883403,21.861096254335834,-5388,65988,17067,24.0,,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,1.0,0.0,-3.0,0.0,4.753590191106363,1.0,0.0,-3.0,0.0,3.2580965380214826,1.0,0.0,-3.0,0.0,2.484906649788001,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
